Cars,Price,Mileage
2015 Acura TLX 4dr Sdn FWD,"$18,500","Mileage 54,000 km"
2013 Jaguar XF 4dr Sdn V6 AWD,"$18,500","Mileage 62,000 km"
2017 Infiniti QX50 AWD 4dr,"$18,500","Mileage 60,419 km"
2017 Toyota Camry 4dr Sdn I4 Auto LE,"$18,500","Mileage 38,000 km"
2015 Honda Accord Sedan 4dr I4 CVT Sport,"$18,500","Mileage 119,000 km"
2017 Volkswagen Jetta Sedan 4dr 1.8 TSI Auto Highline,"$18,200","Mileage 53,668 km"
2015 Audi A3 4dr Sdn quattro 2.0T Technik,"$18,200","Mileage 75,713 km"
2017 Honda Accord Sedan 4dr I4 CVT Sport w/Honda Sensing,"$18,000","Mileage 111,000 km"
2015 Audi A3 4dr Sdn FrontTrak 1.8T Progressiv,"$18,000","Mileage 79,000 km"
2018 Honda Civic Sedan LX CVT,"$18,000","Mileage 47,000 km"
2016 Lexus IS 300 4dr Sdn AWD,"$27,500","Mileage 57,500 km"
2016 Lexus ES 300h 4dr Sdn,"$24,400","Mileage 139,968 km"
2014 Toyota Camry 4dr Sdn I4 Auto LE,"$12,990","Mileage 140,400 km"
2015 Volkswagen Jetta 4dr 2.0L Man Trendline+,"$11,500","Mileage 45,000 km"
2014 Chrysler 300 4dr Sdn 300S RWD,"$10,500","Mileage 215,657 km"
2012 Ford Fusion 4dr Sdn SEL AWD,"$10,000","Mileage 45,000 km"
2012 Hyundai Elantra 4dr Sdn Man GL,"$6,000","Mileage 159,900 km"
2011 Mazda Mazda3 4dr Sdn Auto GX,"$5,200","Mileage 128,317 km"
2011 BMW 3 Series 4dr Sdn 335i RWD,"$18,000","Mileage 110,000 km"
2015 Ford Taurus 4dr Sdn SHO AWD,"$18,000","Mileage 84,500 km"
2010 Mercedes-Benz S-Class 4dr Sdn S450 4MATIC,"$18,000","Mileage 139,000 km"
2014 Mercedes-Benz C-Class 4dr Sdn C250 RWD,"$18,000",Mileage 195 km
